time_s,time_h,C_max,C_center,C_surface,R_m
107040.00000000,29.733333333333,0.240242671126,0.240242671126,0.0613340080749,0.01201
107100.00000000,29.750000000000,0.240102334535,0.240102334535,0.0613123350147,0.01201
107160.00000000,29.766666666667,0.239962228001,0.239962228001,0.0612909493253,0.01201
107220.00000000,29.783333333333,0.239822350977,0.239822350977,0.0612698258789,0.01201
107280.00000000,29.800000000000,0.239682702922,0.239682702922,0.0612489430654,0.01201
107340.00000000,29.816666666667,0.239543283293,0.239543283293,0.0612282821653,0.01201
107400.00000000,29.833333333333,0.239404091553,0.239404091553,0.0612078268577,0.01201
107460.00000000,29.850000000000,0.239265127161,0.239265127161,0.0611875628283,0.01201
107520.00000000,29.866666666667,0.239126389583,0.239126389583,0.0611674774551,0.01201
107580.00000000,29.883333333333,0.238987878285,0.238987878285,0.0611475595524,0.01201
107640.00000000,29.900000000000,0.238849592732,0.238849592732,0.0611277991627,0.01201
107700.00000000,29.916666666667,0.238711532394,0.238711532394,0.0611081873834,0.01201
107760.00000000,29.933333333333,0.238573696741,0.238573696741,0.0610887162244,0.01201
107820.00000000,29.950000000000,0.238436085246,0.238436085246,0.0610693784875,0.01201
107880.00000000,29.966666666667,0.238298697382,0.238298697382,0.0610501676662,0.01201
107940.00000000,29.983333333333,0.238161532624,0.238161532624,0.0610310778596,0.01201
108000.00000000,30.000000000000,0.23802459045,0.23802459045,0.0610121037003,0.01201
108060.00000000,30.016666666667,0.237887870337,0.237887870337,0.0609932402918,0.01201
108120.00000000,30.033333333333,0.237751371767,0.237751371767,0.0609744831553,0.01201
108180.00000000,30.050000000000,0.23761509422,0.23761509422,0.0609558281833,0.01201
108240.00000000,30.066666666667,0.23747903718,0.23747903718,0.0609372715999,0.01201
108300.00000000,30.083333333333,0.237343200132,0.237343200132,0.0609188099257,0.01201
108360.00000000,30.100000000000,0.237207582562,0.237207582562,0.0609004399475,0.01201
108420.00000000,30.116666666667,0.237072183959,0.237072183959,0.0608821586919,0.01201
108480.00000000,30.133333333333,0.236937003812,0.236937003812,0.0608639634014,0.01201
108540.00000000,30.150000000000,0.236802041612,0.236802041612,0.0608458515142,0.01201
108600.00000000,30.166666666667,0.236667296851,0.236667296851,0.0608278206456,0.01201
